date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:28:45	19190/19190	---MC-	200	added ('OK')	application/javascript	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/js/popper.min.js	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/js/popper.min.js	(from http://milktoken.finance/)
08:28:48	11324/11324	---MC-	200	added ('OK')	application/javascript	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/js/jquery-3.0.0.min.js	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/js/jquery-3.0.0.min.js	(from http://milktoken.finance/)
08:28:50	87088/87088	---MC-	200	added ('OK')	application/javascript	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/js/jquery.min.js	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/js/jquery.min.js	(from http://milktoken.finance/)
08:28:53	9135/9135	---MC-	200	added ('OK')	application/javascript	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/js/custom.js	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/js/custom.js	(from http://milktoken.finance/)
08:28:53	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:28:48%20GMT	http://milktoken.finance/images/maps-and-flags.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/maps-and-flags.png	(from http://milktoken.finance/)
08:28:55	53678/53678	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/animate.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/animate.min.css	(from http://milktoken.finance/css/style.css)
08:28:55	70808/70808	---MC-	200	added ('OK')	application/javascript	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/js/bootstrap.bundle.min.js	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/js/bootstrap.bundle.min.js	(from http://milktoken.finance/)
08:28:55	45479/45479	---MC-	200	added ('OK')	application/javascript	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/js/jquery.mCustomScrollbar.concat.min.js	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/js/jquery.mCustomScrollbar.concat.min.js	(from http://milktoken.finance/)
08:28:57	7381/7381	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/normalize.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/normalize.css	(from http://milktoken.finance/css/style.css)
08:28:58	28414/28414	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/icomoon.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/icomoon.css	(from http://milktoken.finance/css/style.css)
08:28:59	31000/31000	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/font-awesome.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/font-awesome.min.css	(from http://milktoken.finance/css/style.css)
08:28:59	3686/3686	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/meanmenu.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/meanmenu.css	(from http://milktoken.finance/css/style.css)
08:28:59	3248/3248	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/owl.carousel.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/owl.carousel.min.css	(from http://milktoken.finance/css/style.css)
08:28:59	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:28:54%20GMT	http://milktoken.finance/css/swiper.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/swiper.min.css	(from http://milktoken.finance/css/style.css)
08:28:59	1884/1884	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/slick.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/slick.css	(from http://milktoken.finance/css/style.css)
08:29:00	14143/14143	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/jquery.fancybox.min.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/jquery.fancybox.min.css	(from http://milktoken.finance/css/style.css)
08:29:02	35973/35973	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/jquery-ui.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/jquery-ui.css	(from http://milktoken.finance/css/style.css)
08:29:02	3653/3653	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/css/nice-select.css	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/nice-select.css	(from http://milktoken.finance/css/style.css)
08:29:02	5218/5218	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/images/cross_top.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/cross_top.png	(from http://milktoken.finance/css/style.css)
08:29:02	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:28:57%20GMT	http://milktoken.finance/images/why.jpg	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/why.jpg	(from http://milktoken.finance/css/style.css)
08:29:03	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:28:57%20GMT	http://milktoken.finance/css/mCSB_buttons.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/mCSB_buttons.png	(from http://milktoken.finance/css/jquery.mCustomScrollbar.min.css)
08:29:04	1362/1362	---M-Z	200	added ('OK')	image/png	etag:%225eb03e58-552%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_sprite.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_sprite.png	(from https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css)
08:29:04	6567/6567	---M-Z	200	added ('OK')	image/gif	etag:%225eb03e58-19a7%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_loading.gif	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_loading.gif	(from https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css)
08:29:20	653156/653156	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Aug%202020%2012:02:02%20GMT	http://milktoken.finance/images/img2.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/images/img2.png	(from http://milktoken.finance/)
08:29:20	43/43	---M-Z	200	added ('OK')	image/gif	etag:%225eb03e58-2b%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/blank.gif	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/blank.gif	(from https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css)
08:29:20	76/76	---M-Z	200	added ('OK')	image/png	etag:%225eb03e58-4c%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_overlay.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_overlay.png	(from https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css)
08:29:20	5901/5901	---M-Z	200	added ('OK')	image/png	etag:%225eb03e58-170d%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_sprite@2x.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_sprite@2x.png	(from https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css)
08:29:21	13984/13984	---M-Z	200	added ('OK')	image/gif	etag:%225eb03e58-36a0%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_loading@2x.gif	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/fancybox_loading@2x.gif	(from https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css)
08:29:36	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/fontawesome-webfont3e6e.woff2	(from http://milktoken.finance/css/font-awesome.min.css)
08:29:39	130416/130416	---M--	200	added ('OK')	font/ttf	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/IcoMoon-Free.ttf	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/IcoMoon-Free.ttf	(from http://milktoken.finance/css/icomoon.css)
08:29:48	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/fontawesome-webfont3e6e.eot	(from http://milktoken.finance/css/font-awesome.min.css)
08:29:49	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/fontawesome-webfont.eot?	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/fontawesome-webfontd41d.eot	(from http://milktoken.finance/css/font-awesome.min.css)
08:29:49	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:44%20GMT	http://milktoken.finance/css/owl.video.play.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/owl.video.play.31.delayed	(from http://milktoken.finance/css/owl.carousel.min.css)
08:29:50	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:44%20GMT	http://milktoken.finance/css/images/ui-icons_444444_256x240.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/images/ui-icons_444444_256x240.png	(from http://milktoken.finance/css/jquery-ui.css)
08:29:51	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:45%20GMT	http://milktoken.finance/css/images/ui-icons_555555_256x240.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/images/ui-icons_555555_256x240.png	(from http://milktoken.finance/css/jquery-ui.css)
08:29:52	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:46%20GMT	http://milktoken.finance/css/images/ui-icons_ffffff_256x240.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/images/ui-icons_ffffff_256x240.png	(from http://milktoken.finance/css/jquery-ui.css)
08:29:53	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:47%20GMT	http://milktoken.finance/css/images/ui-icons_777620_256x240.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/images/ui-icons_777620_256x240.png	(from http://milktoken.finance/css/jquery-ui.css)
08:29:54	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:48%20GMT	http://milktoken.finance/css/images/ui-icons_cc0000_256x240.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/images/ui-icons_cc0000_256x240.png	(from http://milktoken.finance/css/jquery-ui.css)
08:29:55	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/fontawesome-webfont3e6e.woff	(from http://milktoken.finance/css/font-awesome.min.css)
08:29:55	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20May%202021%2006:29:49%20GMT	http://milktoken.finance/css/images/ui-icons_777777_256x240.png	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/css/images/ui-icons_777777_256x240.png	(from http://milktoken.finance/css/jquery-ui.css)
08:29:55	444379/444379	---MC-	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/fontawesome-webfont3e6e.svg	(from http://milktoken.finance/css/font-awesome.min.css)
08:29:59	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2020%20Jan%202020%2004:05:20%20GMT	http://milktoken.finance/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Damnson/Desktop/MilkFinance/Milktoken/milktoken.finance/fonts/fontawesome-webfont3e6e.ttf	(from http://milktoken.finance/css/font-awesome.min.css)
